1,2-dichloroethane degradation	3.8.1.3 3.8.1.5 1.1.2.7 1.2.1.4
protein ubiquitination	6.2.1.45 2.3.2.24 2.3.2.24 2.3.2.27 2.3.2.26 2.3.2.26 2.3.2.23
3,5,6-trichloro-2-pyridinol degradation	3.5.99.- 1.14.14.-
flaviolin dimer and mompain biosynthesis	1.13.12.- 1.14.13.- 1.14.19.69 1.14.19.69 2.3.1.233
L-tyrosine degradation IV (to 4-methylphenol)	2.6.1.27 2.6.1.5 2.6.1.57 4.1.1.83 1.2.3.13
<i>trans</i>-3-hydroxy-L-proline degradation	4.2.1.77 1.5.1.49 1.5.1.1
L-lyxonate degradation	4.2.1.- 1.2.1.- 4.2.1.43
brassicicene C biosynthesis	2.5.1.29 2.1.1.- 1.14.11.- 1.14.14.- 1.14.14.- 4.2.3.43
atromentin biosynthesis	2.6.1.27 2.6.1.5 2.6.1.57
terrequinone A biosynthesis	2.5.1.- 2.5.1.- 1.1.1.- 2.5.1.- 2.6.1.28
3-(4-sulfophenyl)butanoate degradation	3.1.1.- 1.14.13.-
(<i>R</i>)-canadine biosynthesis	
L-arginine degradation XII	1.2.1.- 3.5.3.7 2.6.1.- 4.1.1.75
mevalonate pathway III (archaea)	2.3.3.10 5.3.3.2 2.7.4.26 4.1.1.110 2.7.1.186 2.7.1.185 1.1.1.34 2.3.1.16 2.3.1.9
fumitremorgin C biosynthesis	6.3.3.- 1.14.19.71 2.1.1.293 1.14.14.118 1.14.19.71 2.5.1.106
fumitremorgin A biosynthesis	2.5.1.107 1.14.14.119 2.5.1.110 1.14.11.38
L-methionine salvage cycle III	5.3.1.23 3.5.1.111 2.4.2.28 2.5.1.16 4.1.1.50 2.5.1.6 2.6.1.ag 1.13.11.54 3.1.3.87 5.3.2.5 4.2.1.109
L-methionine salvage cycle I (bacteria and plants)	2.5.1.6 2.6.1.ag 3.5.1.111 1.13.11.54 3.1.3.87 5.3.2.5 4.2.1.109 5.3.1.23 2.7.1.100 3.2.2.16 2.5.1.16 4.1.1.50
CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis	3.2.1.- 2.7.7.- 2.5.1.- 2.3.1.-
&beta;-D-galactosaminyl-(1&rarr;3)-<i>N</i>-acetyl-&alpha;-D-galactosamine biosynthesis	2.4.1.M15 5.1.3.26 2.7.8.33
mannojirimycin biosynthesis	1.1.1.- 2.6.1.- 3.1.3.-
acetylaszonalenin biosynthesis	2.5.1.- 2.3.1.- 6.3.2.-
gliotoxin biosynthesis	6.3.2.- 1.14.14.- 2.5.1.18 4.3.2.- 3.4.13.19 4.4.1.- 1.8.3.2 2.1.1.-
gliotoxin inactivation	2.1.1.- 1.8.1.- 2.1.1.-
lovastatin biosynthesis	2.3.1.244 2.3.1.238 2.3.1.161 3.1.2.31 1.14.14.125
2-amino-3-hydroxycyclopent-2-enone biosynthesis	2.3.1.37 6.2.1.-
superpathway of fumitremorgin biosynthesis	1.14.11.38 2.5.1.107 6.3.3.- 2.5.1.106 1.14.19.71 1.14.19.71 1.14.14.118 2.1.1.293 1.14.14.119 2.5.1.110
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	3.5.4.25 4.1.2.25 2.7.6.3 4.2.1.160 3.6.1.-
aflatrem biosynthesis	1.14.19.- 1.14.14.- 2.5.1.-
1,2-propanediol biosynthesis from lactate (engineered)	2.8.3.1 1.1.1.- 1.2.1.87 2.8.3.1 1.1.1.55 1.2.1.87
fumiquinazoline D biosynthesis	6.3.2.- 1.5.3.- 6.3.2.- 1.14.14.-
5-<i>N</i>-acetylardeemin biosynthesis	2.3.1.- 6.3.2.- 2.5.1.-
pyruvate to cytochrome <i>bo</i> oxidase electron transfer	1.2.5.1 7.1.1.3
pyruvate to cytochrome <i>bd</i> oxidase electron transfer	7.1.1.7 1.2.5.1
diphthamide biosynthesis II (eukaryotes)	6.3.1.14 2.5.1.108 3.1.1.97 2.1.1.314
prodigiosin biosynthesis	2.3.1.- 6.4.1.- 2.1.1.- 1.1.1.- 4.2.1.- 2.3.1.- 1.4.3.- 2.6.1.- 2.2.1.12 6.2.1.53 1.3.8.14
methylthiolincosamide biosynthesis	2.2.1.- 5.3.1.- 2.7.1.- 3.1.3.- 2.7.7.- 2.2.1.-
asperlicin E biosynthesis	1.14.13.216 6.3.2.- 6.3.2.-
ergothioneine biosynthesis II (fungi)	2.1.1.44 1.14.99.51
heme <i>b</i> biosynthesis III (from siroheme)	4.1.1.111 1.3.98.f 4.1.3.-
heme <i>d</i><sub>1</sub> biosynthesis	1.2.98.- 1.1.1.- 4.1.1.111
&alpha;-cyclopiazonate biosynthesis	2.5.1.- 1.21.99.1 2.3.1.- 6.3.2.-
(-)-microperfuranone biosynthesis	6.3.2.-
(-)-dehydrodiconiferyl alcohol degradation	1.13.11.- 4.1.1.- 1.2.1.29 1.1.1.-
&alpha;-cyclopiazonate detoxification	1.14.14.-
glutathione degradation (DUG pathway - yeast)	3.4.13.18 3.4.19.13
methylerythritol phosphate pathway II	1.1.1.267 5.3.3.2 1.17.7.4 1.17.7.4 1.17.7.1 4.6.1.12 2.7.1.148 2.7.7.60 2.2.1.7
tenellin biosynthesis	2.3.1.- 1.14.14.- 1.14.19.- 6.3.2.-
3,6-anhydro-&alpha;-L-galactopyranose degradation	1.1.1.127 4.1.2.55 4.1.2.14 2.7.1.178 2.7.1.45 1.1.1.389 5.5.1.25
bassianin and desmethylbassianin biosynthesis	6.3.2.- 2.3.1.- 6.3.2.- 2.3.1.-
bacimethrin and bacimethrin pyrophosphate biosynthesis	2.1.2.- 2.7.6.- 2.1.1.- 3.2.2.-
aspyridone A biosynthesis	2.3.1.- 1.14.13.- 1.14.19.- 6.3.2.-
L-gulonate degradation	1.1.1.380
L-galactose degradation	1.1.1.-
arginomycin biosynthesis	2.4.1.- 3.4.13.- 2.1.1.- 6.3.2.- 6.3.2.- 2.6.1.- 1.1.-.- 3.2.2.10
blasticidin S biosynthesis	6.3.2.- 3.4.13.- 2.1.1.- 5.4.3.- 6.3.2.- 3.2.2.10 2.4.1.- 2.6.1.- 1.1.-.-
ferrichrome A biosynthesis	3.5.1.- 6.3.2.- 1.14.13.195 2.3.3.10 4.2.1.18
lolitrem B biosynthesis	2.5.1.- 1.14.14.- 2.5.1.- 1.14.19.- 1.14.19.- 1.14.14.- 2.5.1.- 1.14.14.- 1.14.14.- 2.5.1.- 1.14.14.- 2.5.1.-
GDP-mycosamine biosynthesis	4.2.1.47 2.6.1.-
propanoyl-CoA degradation II	1.3.3.6 1.2.1.18 1.1.1.59 3.1.2.4 4.2.1.116
superpathway of candicidin biosynthesis	4.1.3.38 2.4.1.- 1.14.15.- 2.3.1.- 6.2.1.- 4.2.1.47 2.6.1.- 2.1.3.15 2.6.1.85
nitrogen fixation II (flavodoxin)	1.19.6.1
ferrichrome biosynthesis	6.3.2.- 2.3.1.-
phycoviolobilin biosynthesis	1.14.15.20 4.4.1.31 5.2.1.- 1.3.7.5
phycourobilin biosynthesis	1.14.15.20 4.4.1.33 5.2.1.- 1.3.7.3 1.3.7.2
phycoerythrobilin biosynthesis II	1.14.15.20 5.2.1.- 1.3.7.6
<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation II	4.1.3.3 5.1.3.8
mercaptosuccinate degradation	1.13.11.-
arachidonate biosynthesis II (bacteria)	2.3.1.-
docosahexaenoate biosynthesis II (bacteria)	2.3.1.-
&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine degradation	5.4.2.8 5.3.1.8 2.4.1.320
oleate biosynthesis III (cyanobacteria)	1.14.19.28 2.3.1.15 2.3.1.51
ursodeoxycholate biosynthesis (bacteria)	1.1.1.159 1.1.1.201
palmitoleate biosynthesis III (cyanobacteria)	1.14.19.27 2.3.1.51
(7Z,10Z,13Z)-hexadecatrienoate biosynthesis	1.14.19.42 1.14.19.35 1.14.19.23
okenone biosynthesis	1.3.99.40 2.1.1.- 4.2.1.131 5.5.1.19
arachidonate biosynthesis III (6-desaturase, mammals)	1.14.19.44 1.14.19.3 1.3.1.93 4.2.1.134 1.1.1.330 2.3.1.- 6.2.1.3
linoleate biosynthesis III (cyanobacteria)	1.14.19.45
&gamma;-linolenate biosynthesis III (cyanobacteria)	1.14.19.46
stearidonate biosynthesis (cyanobacteria)	1.14.19.36
superpathway of stearidonate biosynthesis (cyanobacteria)	1.14.19.46 1.14.19.36 1.14.19.45 1.14.19.28 2.3.1.15 2.3.1.51
&alpha;-linolenate biosynthesis II (cyanobacteria)	1.14.19.36
anditomin biosynthesis	1.1.99.- 1.14.20.- 1.1.99.- 2.3.1.- 2.3.1.- 1.14.99.- 3.1.1.- 2.5.1.- 1.14.13.- 5.4.99.- 1.1.99.- 1.1.99.- 1.14.20.- 1.14.13.-
peramine biosynthesis	6.3.2.-
arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)	2.3.1.199 1.14.19.30 1.14.19.4 2.3.1.- 1.3.1.93 4.2.1.134 1.1.1.330
icosapentaenoate biosynthesis V (8-desaturase, lower eukaryotes)	2.3.1.199 1.14.19.30 1.14.19.4 2.3.1.- 1.3.1.93 4.2.1.134 1.1.1.330
stephacidin A biosynthesis	1.14.13.- 2.5.1.- 2.5.1.109
notoamide C and D biosynthesis	1.14.13.- 1.14.13.-
roquefortine C biosynthesis	1.14.19.- 6.3.2.- 1.14.19.- 2.5.1.- 2.5.1.-
docosahexaenoate biosynthesis III (6-desaturase, mammals)	2.3.1.- 1.1.1.330 4.2.1.134 1.3.1.93 2.3.1.- 1.1.1.330 4.2.1.134 1.3.1.93 1.14.19.3 1.3.3.6 4.2.1.17 1.1.1.- 2.3.1.16 2.3.1.-
meleagrin biosynthesis	1.14.14.- 2.1.1.- 1.14.14.- 1.14.14.- 1.14.14.- 1.14.14.-
neoxaline biosynthesis	1.14.14.- 2.1.1.-
superpathway of roquefortine, meleagrin and neoxaline biosynthesis	2.5.1.- 2.1.1.- 1.14.14.- 1.14.14.- 2.1.1.- 1.14.14.- 1.14.14.- 1.14.14.- 1.14.14.- 1.14.19.- 6.3.2.- 1.14.19.- 2.5.1.-
GDP-6-deoxy-D-<i>altro</i>-heptose biosynthesis	5.1.3.- 1.1.1.- 1.1.1.- 4.2.1.-
chaetoglobosin A biosynthesis	1.14.14.- 2.3.1.- 1.14.21.- 1.14.14.- 6.3.2.- 1.14.14.- 1.14.21.- 1.14.14.- 1.14.14.-
GDP-6-deoxy-D-<i>manno</i>-heptose biosynthesis	1.1.1.- 4.2.1.-
methiin metabolism	4.4.1.4 3.4.11.7 3.4.16.- 2.1.1.-
pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)	1.14.13.- 4.2.1.97 1.14.13.- 1.1.1.- 1.14.13.- 1.14.14.- 1.14.13.- 1.1.1.- 1.14.13.-
methanol oxidation to carbon dioxide	1.17.98.e 1.1.1.244 1.2.1.46 3.13.1.- 1.1.1.306
ricinoleate biosynthesis	1.14.18.4 2.3.1.23 2.7.8.2
juniperonate biosynthesis	1.3.1.93 1.14.19.37 4.2.1.134 1.1.1.330 2.3.1.199
rhizobactin 1021 biosynthesis	4.1.1.86 6.3.2.- 6.3.2.- 2.3.1.M54 1.14.13.M65 2.6.1.76
naphthalene degradation (anaerobic)	4.1.1.- 6.2.1.-
autoinducer CAI-1 biosynthesis	1.1.1.- 3.5.99.- 2.3.1.-
UDP-&alpha;-D-galactofuranose biosynthesis	5.1.3.2 5.4.99.9
astaxanthin dirhamnoside biosynthesis	2.4.1.-
nystatin biosynthesis	2.3.1.- 2.4.1.- 1.14.13.- 1.14.13.-
phosphatidylinositol biosynthesis II (eukaryotes)	2.7.8.11
bacilysin biosynthesis	5.4.99.5 6.3.2.49 1.1.1.385 2.6.1.- 1.3.1.aa 5.3.3.19 1.3.1.aa 1.14.13.- 5.3.3.19 4.1.1.100
2,4,6-trinitrophenol and 2,4-dinitrophenol degradation	1.7.1.- 1.3.98.M5 5.3.99.- 1.3.98.-
2,4-dinitroanisole degradation	3.3.2.14
yatein biosynthesis II	2.1.1.M19 1.14.21.- 2.1.1.- 1.14.13.-
phospholipid desaturation	1.14.19.43 1.14.19.22 1.14.19.25 1.14.19.25 1.14.19.22 1.14.19.25 1.14.19.22 1.14.19.25 1.14.19.22 1.14.19.25 1.14.19.22 1.14.19.22 1.14.19.25 1.14.19.22 1.14.19.25 1.14.19.35 1.14.19.23 1.14.19.43 1.14.19.43 1.14.19.35 1.14.19.23
hinokinin biosynthesis	1.14.19.72 1.14.21.-
arctigenin and isoarctigenin biosynthesis	2.1.1.- 2.1.1.-
hinokiresinol biosynthesis	2.3.-.-
calycosin 7-<i>O</i>-glucoside biosynthesis	2.4.1.-
vernolate biosynthesis II	1.14.14.M33
kievitone detoxification	4.2.1.95
astaxanthin biosynthesis (flowering plants)	1.1.99.- 1.1.99.- 1.14.15.- 1.3.99.- 1.3.99.-
2,2'-dihydroxyketocarotenoids biosynthesis	1.14.13.- 1.14.13.- 1.14.13.- 1.14.13.- 1.14.13.- 1.14.13.-
echinenone and zeaxanthin biosynthesis (<i>Synechocystis</i>)	1.14.13.- 1.5.3.-
bis(guanylyl molybdenum cofactor) biosynthesis	2.7.7.77
abscisic acid degradation to neophaseic acid	1.14.14.-
5-hexynoate biosynthesis	1.14.19.40 1.14.19.40 6.2.1.47
abscisic acid degradation to 7'-hydroxyabscisate	1.14.14.-
coniferyl alcohol 9-methyl ester biosynthesis	2.1.1.-
heparin degradation	3.1.6.13 3.10.1.1 3.1.6.11 3.2.1.56 4.2.2.7
hyaluronan degradation	4.2.2.1 3.2.1.179 3.2.1.180
dermatan sulfate degradation I (bacterial)	4.2.2.20 4.2.2.19 3.1.6.9 3.2.1.179 4.2.2.21
ulvan degradation	4.2.2.- 3.2.1.-
4-methyl-proline biosynthesis	1.14.11.- 1.14.13.- 1.14.11.-
3-hydroxy-<i>L</i>-homotyrosine biosynthesis	2.3.3.- 1.14.11.- 2.6.1.- 1.1.1.- 5.4.4.-
echinocandin B biosynthesis	6.1.-.- 6.1.-.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 1.14.13.- 6.3.2.-
heparan sulfate degradation	3.10.1.1 4.2.2.8 3.2.1.56
echinocandin B degradation	3.5.1.-
griseofulvin biosynthesis	2.1.1.- 1.3.1.- 2.1.1.- 1.14.21.- 1.14.19.- 2.1.1.- 2.3.1.- 2.3.1.-
(8<i>E</i>,10<i>E</i>)-dodeca-8,10-dienol biosynthesis	1.2.1.- 1.14.19.- 1.14.19.- 2.3.1.16 4.2.1.17 1.3.8.8 2.3.1.155 1.1.1.211 4.2.1.17 1.3.8.9
dechlorogriseofulvin biosynthesis	1.3.1.- 1.14.21.- 2.1.1.-
<i>Spodoptera littoralis</i> pheromone biosynthesis	1.2.1.84 2.3.1.- 1.3.8.9 2.3.1.- 1.2.1.84 2.3.1.155 1.1.1.211 4.2.1.17 1.2.1.84 2.3.1.- 4.2.1.17 2.3.1.- 1.2.1.84 1.14.19.5 2.3.1.- 1.2.1.84 1.14.19.- 1.14.19.24 2.3.1.155 1.1.1.211 1.14.19.5 1.3.8.9
dTDP-&beta;-L-digitoxose biosynthesis	4.2.1.46 1.1.1.- 5.1.3.- 1.1.1.384 2.7.7.24
protein <I>N</i>-glycosylation (<i>Methanococcus voltae</i>)	2.4.99.21 2.4.1.- 2.4.1.335 2.4.1.153
viridicatumtoxin biosynthesis	1.14.21.- 2.5.1.- 2.1.1.- 1.14.13.- 1.14.13.- 2.5.1.1 6.2.1.- 2.3.1.-
tryptoquialanine biosynthesis	1.14.13.- 2.3.1.- 1.1.1.- 1.14.13.- 6.2.1.- 6.3.2.- 1.14.13.- 3.1.1.-
protein <I>N</i>-glycosylation (<i>Haloferax volcanii</i>)	2.4.1.- 2.4.1.- 2.4.99.21 2.1.1.- 2.4.1.- 5.1.3.- 2.4.1.- 2.4.1.356 2.4.1.83
glycogen degradation III (via anhydrofructose)	4.2.2.13 5.3.2.7 4.2.1.111
gondoate biosynthesis (anaerobic)	1.3.1.9 4.2.1.59 1.1.1.100 2.3.1.179 2.3.1.41
oleate biosynthesis IV (anaerobic)	4.2.1.59 1.3.1.9 2.3.1.86 2.3.1.85 4.2.1.59 5.3.3.14 1.1.1.100 2.3.1.179 2.3.1.41 1.3.1.9 4.2.1.59 1.1.1.100 2.3.1.179 2.3.1.41 1.3.1.9 4.2.1.59 1.1.1.100 2.3.1.179 2.3.1.41
aureobasidin A biosynthesis	6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.-
galactolipid biosynthesis II	2.4.1.241 2.4.1.336 5.1.3.34
apicidin biosynthesis	2.1.1.- 6.3.2.- 6.3.2.- 1.14.13.- 1.1.1.- 6.3.2.- 1.14.13.- 1.5.1.-
apicidin F biosynthesis	6.3.2.- 6.3.2.- 6.3.2.- 1.14.13.- 2.1.1.- 1.5.1.-
equisetin biosynthesis	6.3.2.- 2.1.1.- 2.3.1.-
fusaridione A biosynthesis	2.3.1.- 6.3.2.-
saframycin A biosynthesis	6.2.1.ad 2.3.1.- 2.3.1.- 6.2.1.- 2.1.1.M6 1.11.2.5 2.1.1.304 6.2.1.- 6.2.1.-
fusaric acid biosynthesis	2.3.1.-
fusarin C biosynthesis	2.1.1.- 2.3.1.- 6.3.2.- 1.14.13.- 1.14.13.- 1.14.13.-
CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis	3.1.3.45 2.7.7.90 2.6.1.109 1.1.3.48 2.5.1.55 5.3.1.13
Kdo transfer to lipid IV<sub>A</sub> II	2.7.1.166 2.4.99.12
Kdo8N transfer to lipid IV<sub>A</sub>	2.4.99.- 2.7.1.166
rosamicin biosynthesis	1.14.13.- 1.14.13.- 1.14.13.- 2.4.1.- 2.3.1.-
anthocyanidin sambubioside biosynthesis	2.4.2.51 2.4.1.295 2.4.1.295 2.4.2.51 2.4.2.51
anthocyanidin acylglucoside and acylsambubioside biosynthesis	2.3.1.215 2.3.1.- 2.3.1.- 2.4.2.51 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.4.2.51 2.3.1.-
carnosate bioynthesis	1.14.13.190 1.14.14.61 1.14.14.60 4.2.3.131 5.5.1.12
1-chloro-2-nitrobenzene degradation	1.14.12.23
arabidopyrone biosynthesis	1.14.14.- 1.2.1.- 1.1.1.- 1.1.3.- 1.13.11.- 1.2.1.- 1.1.1.- 1.1.3.- 1.13.11.-
nitrite reduction (hemoglobin)	1.7.2.- 1.7.2.- 1.7.2.-
&alpha;-diglucosyldiacylglycerol biosynthesis	2.4.1.208 2.4.1.337
L-malate degradation I	4.1.1.101
L-malate degradation II	1.1.1.38
stipitatate biosynthesis	4.1.1.60 1.14.13.- 1.14.13.- 1.14.13.- 1.14.13.- 1.14.14.- 1.14.20.- 2.3.1.-
dTDP-D-ravidosamine and dTDP-4-acetyl-D-ravidosamine biosynthesis	4.2.1.46 2.3.1.- 2.1.1.236 2.6.1.90 5.3.2.3 2.7.7.24
8-<i>O</i>-methylfusarubin biosynthesis	2.3.1.- 2.3.1.- 2.1.1.- 2.1.1.- 1.14.13.- 1.14.13.- 1.1.1.-
holomycin biosynthesis	2.3.1.- 1.8.3.M1 3.1.2.- 1.4.99.- 1.8.3.M1 4.1.1.- 6.3.2.- 6.3.2.- 2.3.1.-
10,13-epoxy-11-methyl-octadecadienoate biosynthesis	2.1.1.-
bikaverin biosynthesis	2.3.1.- 2.1.1.- 2.1.1.- 1.14.13.- 1.1.1.- 1.14.13.- 2.3.1.-
guadinomine B biosynthesis	6.2.1.ae 1.14.11.M1 2.1.3.- 2.3.1.- 1.2.98.- 1.1.1.- 2.1.4.1
zwittermicin A biosynthesis	2.1.3.- 3.4.11.- 2.3.1.- 2.3.1.- 6.2.1.ae 1.2.98.- 1.1.1.- 2.7.1.bm 1.5.1.51 2.5.1.140 2.3.1.- 1.1.1.- 1.2.98.-
aurofusarin biosynthesis	2.3.1.- 1.1.1.- 1.14.13.- 1.1.1.- 1.14.13.- 1.14.21.- 1.10.3.- 1.1.1.- 1.14.21.- 1.10.3.- 1.14.13.- 2.1.1.- 4.2.1.- 2.3.1.-
citreoisocoumarin and bikisocoumarin biosynthesis	2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.-
geranyl &beta;-primeveroside biosynthesis	2.4.1.- 2.4.1.-
2,5-xylenol and 3,5-xylenol degradation	4.2.1.35 1.14.13.M67 3.7.1.23 1.13.11.4 1.14.13.24 1.2.1.7 1.1.1.90 1.14.13.M67 3.7.1.23 1.13.11.4 1.14.13.24 1.2.1.7 1.1.1.90
4-methylphenol degradation to protocatechuate	1.2.1.96 1.14.13.2
4-hydroxy-4-methyl-L-glutamate biosynthesis	2.6.1.- 4.1.3.17
sch210971 and sch210972 biosynthesis	2.3.1.- 6.3.2.- 6.3.2.- 6.3.2.-
2,4-xylenol degradation to protocatechuate	1.1.-.- 1.14.13.- 1.2.1.- 1.2.1.96 1.14.13.M11
viridicatin biosynthesis	6.3.2.40 1.14.11.- 1.14.20.-
4'-methoxyviridicatin biosynthesis	6.3.2.40 1.14.11.- 1.14.20.-
dapdiamides biosynthesis	1.14.11.M2 6.3.2.47 3.1.2.- 1.5.1.51 2.3.1.- 2.7.7.- 6.3.2.47 6.3.2.47 6.3.2.47 6.3.2.46 2.5.1.140 2.7.1.bm
lyngbyatoxin biosynthesis	1.14.13.- 2.5.1.- 1.14.19.- 2.3.1.- 1.14.13.-
(3<i>R</i>)-linalool biosynthesis	2.5.1.1 4.2.3.26
FeMo cofactor biosynthesis	2.3.3.14
calonectrin biosynthesis	2.3.1.- 1.14.14.- 2.3.1.- 4.2.3.6 1.14.14.- 1.14.4 1.14.14.- 1.14.14.-
deoxynivalenol biosynthesis	3.1.1.- 3.1.1.- 1.14.14.-
nivalenol biosynthesis	1.14.14.- 3.1.1.- 3.1.1.- 2.3.1.- 1.14.14.-
harzianum A and trichodermin biosynthesis	2.3.1.- 2.3.1.- 1.14.14.-
superpathway of trichothecene biosynthesis	3.1.1.- 2.3.1.- 2.3.1.- 1.14.14.- 1.14.14.- 3.1.1.- 3.1.1.- 1.14.14.- 1.14.14.- 2.3.1.- 3.1.1.- 3.1.1.- 4.2.3.6 1.14.14.- 1.14.14.- 1.14.4 1.14.14.- 2.3.1.- 1.14.14.- 2.3.1.- 1.14.14.- 2.3.1.- 1.14.14.- 2.3.1.-
penicillin G and penicillin V biosynthesis	2.3.1.- 6.2.1.30
3-hydroxy-4-methyl-anthranilate biosynthesis I	3.5.1.9 3.7.1.- 2.1.1.M8 1.14.13.9 1.13.11.11 1.13.11.52
actinomycin D biosynthesis	6.3.1.- 1.10.3.4 6.3.1.- 2.7.7.97
CMP-diacetamido-8-epilegionaminic acid biosynthesis	2.3.1.- 2.7.7.- 2.5.1.- 3.6.1.- 5.1.3.- 2.6.1.34 4.2.1.115
ophiobolin F biosynthesis	2.5.1.29 4.2.3.145 2.5.1.81
methyl phomopsenoate biosynthesis	2.5.1.10 4.2.3.- 2.5.1.29
sulfoquinovose degradation II	1.2.1.97 3.1.1.99 1.1.1.390 4.2.1.162 4.1.2.58
bacterial bioluminescence	1.5.1.39 1.14.14.3 3.1.2.2 1.2.1.50 6.2.1.19 3.1.2.14 1.5.1.42 1.5.1.38
icosapentaenoate biosynthesis III (8-desaturase, mammals)	1.14.19.- 2.3.1.199 1.14.19.44 1.3.1.93 4.2.1.134 1.1.1.330 6.2.1.3
arachidonate biosynthesis V (8-detaturase, mammals)	2.3.1.199 1.14.19.44 1.14.19.- 1.3.1.93 4.2.1.134 1.1.1.330
(4Z,7Z,10Z,13Z,16Z)-docosapentaenoate biosynthesis (6-desaturase)	1.1.1.- 2.3.1.16 2.3.1.- 4.2.1.17 1.3.3.6 1.14.19.3 1.3.1.93 4.2.1.134 1.1.1.330 2.3.1.- 1.3.1.93 4.2.1.134 1.1.1.330
docosahexaenoate biosynthesis IV (4-desaturase, mammals)	1.14.19.- 2.3.1.- 2.3.1.- 1.1.1.330 4.2.1.134 1.3.1.93
(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	2.3.1.- 1.14.19.- 1.3.1.93 4.2.1.134 1.1.1.330
5,6-dimethylbenzimidazole biosynthesis II (anaerobic)	4.1.99.23 2.1.1.M10 2.1.1.M9
T-2 toxin biosynthesis	3.1.1.- 1.14.14.- 2.3.1.- 1.14.14.- 2.3.1.-
superpathway of photosynthetic hydrogen production	1.6.5.2 1.12.7.2 1.18.1.2 1.97.1.12 7.1.1.6 1.10.3.9
3-hydroxyquinaldate biosynthesis	6.2.1.af 1.17.1.- 2.6.1.- 3.5.1.9 1.13.11.- 3.1.2.- 1.14.13.-
quinoxaline-2-carboxylate biosynthesis	3.5.1.9 1.1.1.- 2.6.99.- 6.2.1.af 1.13.11.- 3.1.2.- 1.14.13.-
echinomycin and triostin A biosynthesis	2.1.1.- 2.3.1.- 1.8.3.- 6.3.2.- 6.3.2.- 2.7.7.-
stellatic acid biosynthesis	2.5.1.81 2.5.1.1 1.14.14.- 1.14.14.- 1.14.14.- 4.2.3.178 2.5.1.10 2.5.1.29
thiocoraline biosynthesis	2.7.7.- 1.8.3.- 2.1.1.- 6.3.2.- 6.3.2.- 2.3.1.-
polyacyltrehalose biosynthesis	2.3.1.M11 2.3.1.cy 2.3.1.cz 1.14.19.M9 2.3.1.252 6.2.1.M2 3.1.2.M3
aucuparin biosynthesis	2.1.1.- 2.3.1.177 2.1.1.- 1.14.14.-
&beta;-D-mannosyl phosphomycoketide biosynthesis	2.3.1.cw 2.4.1.M6 3.1.2.M2 2.7.1.M2
phthiocerol biosynthesis	2.1.1.M12 3.1.2.M1 1.1.1.M11 1.1.1.M10 4.1.1.M4 2.3.1.cs
phenolphthiocerol biosynthesis	2.1.1.M12 1.1.1.M11 1.1.1.M10 4.1.1.M4 3.1.2.M1 2.3.1.cs 3.1.2.M1 2.3.1.261 2.1.1.M12 1.1.1.M11 1.1.1.M10 4.1.1.M4 3.1.2.M1 2.3.1.cs 3.1.2.M1 2.3.1.261 4.1.3.40
dimycocerosyl triglycosyl phenolphthiocerol biosynthesis	2.3.1.111 2.1.1.M16 2.1.1.M15 2.1.1.M14 2.4.1.M5 2.4.1.M4 2.1.1.M13 2.4.1.M3 2.3.1.cx
dimycocerosyl phthiocerol biosynthesis	2.3.1.cx 2.3.1.111
p-HBAD biosynthesis	4.1.3.40 2.1.1.M16 2.1.1.M15 2.1.1.M14 2.4.1.M5 2.4.1.M4 2.1.1.M13 2.4.1.M3 2.1.1.M17
mycobacterial sulfolipid biosynthesis	2.8.2.37 2.3.1.ct 2.3.1.dc 2.3.1.db 2.3.1.da 2.3.1.- 3.1.2.14
diphenyl ethers degradation	1.3.1.56 1.13.11.39 1.14.12.18
yatein biosynthesis I	1.14.19.72 2.1.1.330 1.14.14.131 2.1.1.323
(-)-4'-demethyl-epipodophyllotoxin biosynthesis	1.14.13.M16 1.14.14.132 1.14.20.8
carbon monoxide oxidation to CO<sub>2</sub>	1.2.5.3
shinorine biosynthesis	2.1.1.- 6.3.4.- 4.2.3.154 2.1.1.-
gadusol biosynthesis	2.1.1.M22 1.1.1.M23 4.2.3.152
bile acids degradation	1.1.1.395 2.8.3.25 1.3.1.114 1.3.1.114 4.2.1.106 1.3.1.115 1.1.1.395 6.2.1.7 3.5.1.74 2.8.3.25 1.1.1.395 1.3.1.114 1.3.1.114 4.2.1.106 1.3.1.115 1.1.1.395 6.2.1.7 3.5.1.- 3.5.1.24 3.5.1.24
